wavelength,mCherry ex,wavelength,mCherry em,wavelength,mCherry 2p
1013,,1013,,1013,0.2965
1014,,1014,,1014,0.3031
1015,,1015,,1015,0.3093
1016,,1016,,1016,0.3154
1017,,1017,,1017,0.3215
1018,,1018,,1018,0.3273
1019,,1019,,1019,0.333
1020,,1020,,1020,0.3392
1021,,1021,,1021,0.3461
1022,,1022,,1022,0.3531
1023,,1023,,1023,0.3596
1024,,1024,,1024,0.3659
1025,,1025,,1025,0.3722
1026,,1026,,1026,0.3787
1027,,1027,,1027,0.3853
1028,,1028,,1028,0.3923
1029,,1029,,1029,0.4008
1030,,1030,,1030,0.4101
1031,,1031,,1031,0.4205
1032,,1032,,1032,0.4301
1033,,1033,,1033,0.4361
1034,,1034,,1034,0.4391
1035,,1035,,1035,0.439
1036,,1036,,1036,0.4395
1037,,1037,,1037,0.4426
1038,,1038,,1038,0.4503
1039,,1039,,1039,0.466
1040,,1040,,1040,0.4852
1041,,1041,,1041,0.5026
1042,,1042,,1042,0.5193
1043,,1043,,1043,0.5348
1044,,1044,,1044,0.5493
1045,,1045,,1045,0.5627
1046,,1046,,1046,0.5763
1047,,1047,,1047,0.591
1048,,1048,,1048,0.6047
1049,,1049,,1049,0.6168
1050,,1050,,1050,0.6281
1051,,1051,,1051,0.6385
1052,,1052,,1052,0.6483
1053,,1053,,1053,0.6582
1054,,1054,,1054,0.6684
1055,,1055,,1055,0.679
1056,,1056,,1056,0.6913
1057,,1057,,1057,0.708
1058,,1058,,1058,0.7255
1059,,1059,,1059,0.7391
1060,,1060,,1060,0.7508
1061,,1061,,1061,0.7619
1062,,1062,,1062,0.7734
1063,,1063,,1063,0.7855
1064,,1064,,1064,0.8003
1065,,1065,,1065,0.821
1066,,1066,,1066,0.8422
1067,,1067,,1067,0.8587
1068,,1068,,1068,0.8739
1069,,1069,,1069,0.8899
1070,,1070,,1070,0.9062
1071,,1071,,1071,0.9234
1072,,1072,,1072,0.9413
1073,,1073,,1073,0.9608
1074,,1074,,1074,0.977
1075,,1075,,1075,0.9876
1076,,1076,,1076,0.9927
1077,,1077,,1077,0.9914
1078,,1078,,1078,0.9854
1079,,1079,,1079,0.9752
1080,,1080,,1080,0.9665
1081,,1081,,1081,0.9692
1082,,1082,,1082,0.978
1083,,1083,,1083,0.9867
1084,,1084,,1084,0.9937
1085,,1085,,1085,0.9988
1086,,1086,,1086,1
1087,,1087,,1087,0.9944
1088,,1088,,1088,0.9878
1089,,1089,,1089,0.9855
1090,,1090,,1090,0.9802
1091,,1091,,1091,0.9663
1092,,1092,,1092,0.9512
1093,,1093,,1093,0.9421
1094,,1094,,1094,0.935
1095,,1095,,1095,0.9266
1096,,1096,,1096,0.9181
1097,,1097,,1097,0.9095
1098,,1098,,1098,0.9011
1099,,1099,,1099,0.8947
1100,,1100,,1100,0.8914
1101,,1101,,1101,0.8909
1102,,1102,,1102,0.888
1103,,1103,,1103,0.8767
1104,,1104,,1104,0.8626
1105,,1105,,1105,0.852
1106,,1106,,1106,0.8451
1107,,1107,,1107,0.8404
1108,,1108,,1108,0.8355
1109,,1109,,1109,0.8295
1110,,1110,,1110,0.8212
1111,,1111,,1111,0.8078
1112,,1112,,1112,0.7964
1113,,1113,,1113,0.7927
1114,,1114,,1114,0.791
1115,,1115,,1115,0.7887
1116,,1116,,1116,0.7859
1117,,1117,,1117,0.7804
1118,,1118,,1118,0.7729
1119,,1119,,1119,0.7648
1120,,1120,,1120,0.7578
1121,,1121,,1121,0.7538
1122,,1122,,1122,0.7511
1123,,1123,,1123,0.7484
1124,,1124,,1124,0.744
1125,,1125,,1125,0.7365
1126,,1126,,1126,0.728
1127,,1127,,1127,0.7188
1128,,1128,,1128,0.7104
1129,,1129,,1129,0.706
1130,,1130,,1130,0.7037
1131,,1131,,1131,0.7024
1132,,1132,,1132,0.7017
1133,,1133,,1133,0.7004
1134,,1134,,1134,0.6976
1135,,1135,,1135,0.6917
1136,,1136,,1136,0.6865
1137,,1137,,1137,0.6847
1138,,1138,,1138,0.6852
1139,,1139,,1139,0.6875
1140,,1140,,1140,0.6905
1141,,1141,,1141,0.6933
1142,,1142,,1142,0.6949
1143,,1143,,1143,0.6939
1144,,1144,,1144,0.6915
1145,,1145,,1145,0.6883
1146,,1146,,1146,0.6849
1147,,1147,,1147,0.682
1148,,1148,,1148,0.6802
1149,,1149,,1149,0.6803
1150,,1150,,1150,0.6815
1151,,1151,,1151,0.6833
1152,,1152,,1152,0.6852
1153,,1153,,1153,0.6862
1154,,1154,,1154,0.6867
1155,,1155,,1155,0.6876
1156,,1156,,1156,0.6885
1157,,1157,,1157,0.6893
1158,,1158,,1158,0.6895
1159,,1159,,1159,0.6885
1160,,1160,,1160,0.6862
1161,,1161,,1161,0.6824
1162,,1162,,1162,0.6783
1163,,1163,,1163,0.6755
1164,,1164,,1164,0.673
1165,,1165,,1165,0.6714
1166,,1166,,1166,0.6685
1167,,1167,,1167,0.6616
1168,,1168,,1168,0.6519
1169,,1169,,1169,0.6405
1170,,1170,,1170,0.6286
1171,,1171,,1171,0.6175
1172,,1172,,1172,0.6075
1173,,1173,,1173,0.5999
1174,,1174,,1174,0.5921
1175,,1175,,1175,0.5821
1176,,1176,,1176,0.5717
1177,,1177,,1177,0.5623
1178,,1178,,1178,0.5529
1179,,1179,,1179,0.5427
1180,,1180,,1180,0.5319
1181,,1181,,1181,0.5206
1182,,1182,,1182,0.5086
1183,,1183,,1183,0.4963
1184,,1184,,1184,0.4846
1185,,1185,,1185,0.4743
1186,,1186,,1186,0.4644
1187,,1187,,1187,0.4542
1188,,1188,,1188,0.4438
1189,,1189,,1189,0.4328
1190,,1190,,1190,0.4214
1191,,1191,,1191,0.4097
1192,,1192,,1192,0.3977
1193,,1193,,1193,0.3859
1194,,1194,,1194,0.3741
1195,,1195,,1195,0.3622
1196,,1196,,1196,0.3503
1197,,1197,,1197,0.3381
1198,,1198,,1198,0.3261
1199,,1199,,1199,0.3156
1200,,1200,,1200,0.3058
1201,,1201,,1201,0.2957
1202,,1202,,1202,0.285
1203,,1203,,1203,0.2736
1204,,1204,,1204,0.2615
1205,,1205,,1205,0.2486
1206,,1206,,1206,0.2361
1207,,1207,,1207,0.2255
1208,,1208,,1208,0.2154
1209,,1209,,1209,0.2051
1210,,1210,,1210,0.1952
1211,,1211,,1211,0.1858
1212,,1212,,1212,0.1768
1213,,1213,,1213,0.1675
1214,,1214,,1214,0.1586
1215,,1215,,1215,0.1502
1216,,1216,,1216,0.1423
1217,,1217,,1217,0.1346
1218,,1218,,1218,0.1273
1219,,1219,,1219,0.1202
1220,,1220,,1220,0.1134
1221,,1221,,1221,0.1068
1222,,1222,,1222,0.1006
1223,,1223,,1223,0.0948
1224,,1224,,1224,0.0895
1225,,1225,,1225,0.085
1226,,1226,,1226,0.0808
1227,,1227,,1227,0.0767
1228,,1228,,1228,0.0727
1229,,1229,,1229,0.0689
1230,,1230,,1230,0.0652
1231,,1231,,1231,0.0616
1232,,1232,,1232,0.0583
1233,,1233,,1233,0.0553
1234,,1234,,1234,0.0526
1235,,1235,,1235,0.05
1236,,1236,,1236,0.0475
1237,,1237,,1237,0.0451
1238,,1238,,1238,0.0426
1239,,1239,,1239,0.0402
1240,,1240,,1240,0.0378
1241,,1241,,1241,0.0356
1242,,1242,,1242,0.0336
1243,,1243,,1243,0.0317
1244,,1244,,1244,0.03
1245,,1245,,1245,0.0282
1246,,1246,,1246,0.0266
1247,,1247,,1247,0.0249
1248,,1248,,1248,0.0233
1249,,1249,,1249,0.022
1250,,1250,,1250,0.0207
1251,,1251,,1251,0.0195
1252,,1252,,1252,0.0184
1253,,1253,,1253,0.0174
1254,,1254,,1254,0.0164
1255,,1255,,1255,0.0155
1256,,1256,,1256,0.0145
1257,,1257,,1257,0.0137
1258,,1258,,1258,0.0128
1259,,1259,,1259,0.012
1260,,1260,,1260,0.0113
1261,,1261,,1261,0.0106
1262,,1262,,1262,0.01
1263,,1263,,1263,0.0094
