wavelength,ATTO 700 ab,wavelength,ATTO 700 em
772,0.002627706,772,0.232683983
773,0.002372294,773,0.229086581
774,0.002229437,774,0.226034633
775,0.002,775,0.223359307
776,0.001770563,776,0.220956708
777,0.001627706,777,0.218740258
778,0.001372294,778,0.216536793
779,0.001047619,779,0.21437229
780,0.000939394,780,0.212047615
781,0.001047619,781,0.209848482
782,0.001372294,782,0.207926406
783,0.001627706,783,0.2062987
784,0.001861472,784,0.204896102
785,0.002030303,785,0.203896101
786,0.002,786,0.203389602
787,0.002060606,787,0.203229429
788,0.002168831,788,0.202891768
789,0.002233766,789,0.202380948
790,0.002255411,790,0.201610388
791,0.002233766,791,0.200584417
792,0.002168831,792,0.199350651
793,0.002060606,793,0.197952381
794,0.001909091,794,0.196428568
795,0.001872727,795,0.194952379
796,0.00189697,796,0.193259737
797,0.001981818,797,0.1914632
798,0.002127273,798,0.189627703
799,,799,0.187861469
800,,800,0.186030301
801,,801,0.184181818
802,,802,0.182121213
803,,803,0.179982688
804,,804,0.177610395
805,,805,0.175073596
806,,806,0.172151518
807,,807,0.168952379
808,,808,0.165627703
809,,809,0.162372289
810,,810,0.159229433
811,,811,0.155999998
812,,812,0.152770565
813,,813,0.149718617
814,,814,0.146402604
815,,815,0.143000006
816,,816,0.139597408
817,,817,0.13619048
818,,818,0.133108228
819,,819,0.130199135
820,,820,0.127311689
821,,821,0.124489177
822,,822,0.121489177
823,,823,0.118402597
824,,824,0.115229437
825,,825,0.111969697
826,,826,0.108818182
827,,827,0.105969697
828,,828,0.103047618
829,,829,0.10034199
830,,830,0.097584415
831,,831,0.09517316
832,,832,0.092844157
833,,833,0.090575759
834,,834,0.088303033
835,,835,0.086203465
836,,836,0.084077923
837,,837,0.082060606
838,,838,0.079909091
839,,839,0.07790909
840,,840,0.075969697
841,,841,0.074138527
842,,842,0.072372294
843,,843,0.070536796
844,,844,0.068831169
845,,845,0.067077922
846,,846,0.065341992
847,,847,0.063735931
848,,848,0.062281386
849,,849,0.06090909
850,,850,0.059688311
851,,851,0.058311688
852,,852,0.057090909
853,,853,0.055627706
854,,854,0.054142858
855,,855,0.052857143
856,,856,0.051281385
857,,857,0.049878787
858,,858,0.048826839
859,,859,0.047683982
860,,860,0.046627705
861,,861,0.045367965
862,,862,0.044281385
863,,863,0.043367965
864,,864,0.042341991
865,,865,0.041536796
866,,866,0.040770563
867,,867,0.04
868,,868,0.039229437
869,,869,0.038372294
870,,870,0.037627705
871,,871,0.036770562
872,,872,0.036
873,,873,0.035138529
874,,874,0.034341992
875,,875,0.033675325
876,,876,0.033203465
877,,877,0.032705629
878,,878,0.032294373
879,,879,0.031705628
880,,880,0.031294372
881,,881,0.030705627
882,,882,0.030294371
883,,883,0.029705626
884,,884,0.029294372
885,,885,0.028705627
886,,886,0.028294373
887,,887,0.027705628
888,,888,0.027294373
889,,889,0.026705629
890,,890,0.026203464
891,,891,0.025766234
892,,892,0.025372295
893,,893,0.024909091
894,,894,0.024597403
895,,895,0.024281385
896,,896,0.024229437
897,,897,0.024
898,,898,0.023861472
899,,899,0.023658009
900,,900,0.023233766
901,,901,0.022857143
902,,902,0.022372294
903,,903,0.021909091
904,,904,0.021597403
905,,905,0.021372294
906,,906,0.021168831
907,,907,0.020831169
908,,908,0.020627706
909,,909,0.020402597
910,,910,0.02
911,,911,0.019688311
912,,912,0.019311688
913,,913,0.018999999
914,,914,0.01868831
915,,915,0.018311687
916,,916,0.017999999
917,,917,0.017688311
918,,918,0.017311689
919,,919,0.017000001
920,,920,0.016597404
921,,921,0.016372296
922,,922,0.016168832
923,,923,0.015922079
924,,924,0.0155671
925,,925,0.015233767
926,,926,0.014857143
927,,927,0.014372294
928,,928,0.013909091
929,,929,0.013597403
930,,930,0.013372294
931,,931,0.013168831
932,,932,0.012831169
933,,933,0.012627706
934,,934,0.012402597
935,,935,0.012
936,,936,0.011597403
937,,937,0.011372294
938,,938,0.011168831
939,,939,0.010831169
940,,940,0.010627706
941,,941,0.010402597
942,,942,0.01
943,,943,0.009597402
944,,944,0.009281385
945,,945,0.009229437
946,,946,0.009
947,,947,0.008770562
948,,948,0.008627706
949,,949,0.008463204
950,,950,0.008168831
951,,951,0.007831169
952,,952,0.007536797
953,,953,0.007372295
954,,954,0.007229437
955,,955,0.007
956,,956,0.006770563
957,,957,0.006627706
958,,958,0.006372295
959,,959,0.006138528
960,,960,0.006060606
961,,961,0.005939394
962,,962,0.005861472
963,,963,0.005627706
964,,964,0.005372294
965,,965,0.005138528
966,,966,0.004969697
967,,967,0.004909091
968,,968,0.005
969,,969,0.005
970,,970,0.005090909
971,,971,0.005030303
972,,972,0.004861472
973,,973,0.004627706
974,,974,0.004372294
975,,975,0.004138528
976,,976,0.003969697
977,,977,0.003909091
978,,978,0.004
979,,979,0.004
980,,980,0.004
981,,981,0.004
982,,982,0.004
983,,983,0.004
984,,984,0.004
985,,985,0.004
986,,986,0.004
987,,987,0.004
988,,988,0.004090909
989,,989,0.004030303
990,,990,0.003861472
991,,991,0.003627706
992,,992,0.003372294
993,,993,0.003138528
994,,994,0.002969697
995,,995,0.002909091
996,,996,0.002872727
997,,997,0.00289697
998,,998,0.002981818
999,,999,0.003127273
