wavelength,EGFP ex,wavelength,EGFP em,wavelength,EGFP 2p
655,0.0032,655,0.008,655,0.5314
656,0.0035,656,0.0076,656,0.5342
657,0.0033,657,0.0076,657,0.538
658,0.0033,658,0.0079,658,0.5412
659,0.004,659,0.008,659,0.5426
660,0.0029,660,0.0071,660,0.5408
661,0.0029,661,0.0078,661,0.5362
662,0.0032,662,0.0075,662,0.5283
663,0.0033,663,0.0073,663,0.5173
664,0.0033,664,0.0071,664,0.5039
665,0.0032,665,0.0073,665,0.4893
666,0.0027,666,0.007,666,0.4732
667,0.0019,667,0.007,667,0.4572
668,0.0025,668,0.0069,668,0.4422
669,0.0026,669,0.007,669,0.4293
670,0.0034,670,0.0064,670,0.4169
671,0.0028,671,0.0068,671,0.4049
672,0.0036,672,0.0065,672,0.3915
673,0.0041,673,0.0064,673,0.3752
674,0.0036,674,0.0065,674,0.3568
675,0.003,675,0.0065,675,0.3365
676,0.0021,676,0.0067,676,0.314
677,0.001,677,0.0067,677,0.2899
678,0.0004,678,0.0065,678,0.2661
679,0.0022,679,0.0065,679,0.2439
680,0.0009,680,0.0064,680,0.2238
681,0.0015,681,0.0065,681,0.2066
682,0.0004,682,0.0064,682,0.1916
683,0.0007,683,0.0071,683,0.1766
684,0.001,684,0.0069,684,0.1626
685,0.0013,685,0.0066,685,0.1499
686,0.0016,686,0.0068,686,0.1382
687,0.0014,687,0.0061,687,0.1262
688,0.0018,688,0.0069,688,0.1151
689,0.0005,689,0.0061,689,0.1054
690,0.0017,690,0.0065,690,0.0966
691,0.0004,691,0.006,691,0.0879
692,0.0012,692,0.0068,692,0.0805
693,0.0012,693,0.0067,693,0.0743
694,0.0002,694,0.0063,694,0.0687
695,0.0011,695,0.0063,695,0.0626
696,0.0021,696,0.0064,696,0.0572
697,0.0022,697,0.0067,697,0.0527
698,0.0023,698,0.0068,698,0.0493
699,0.0022,699,0.0064,699,0.0467
700,0.0017,700,0.0064,700,0.0447
701,,701,,701,0.0431
702,,702,,702,0.042
703,,703,,703,0.0413
704,,704,,704,0.0411
705,,705,,705,0.0414
706,,706,,706,0.042
707,,707,,707,0.0424
708,,708,,708,0.0429
709,,709,,709,0.0436
710,,710,,710,0.0444
711,,711,,711,0.045
712,,712,,712,0.0456
713,,713,,713,0.046
714,,714,,714,0.0465
715,,715,,715,0.0472
716,,716,,716,0.0482
717,,717,,717,0.0495
718,,718,,718,0.0509
719,,719,,719,0.0525
720,,720,,720,0.0539
721,,721,,721,0.0547
722,,722,,722,0.0552
723,,723,,723,0.0558
724,,724,,724,0.0564
725,,725,,725,0.057
726,,726,,726,0.0577
727,,727,,727,0.0586
728,,728,,728,0.0597
729,,729,,729,0.0608
730,,730,,730,0.0621
731,,731,,731,0.0638
732,,732,,732,0.0657
733,,733,,733,0.067
734,,734,,734,0.0684
735,,735,,735,0.071
736,,736,,736,0.0742
737,,737,,737,0.0769
738,,738,,738,0.0794
739,,739,,739,0.0822
740,,740,,740,0.0848
741,,741,,741,0.0872
742,,742,,742,0.09
743,,743,,743,0.0934
744,,744,,744,0.0964
745,,745,,745,0.0988
746,,746,,746,0.1008
747,,747,,747,0.1019
748,,748,,748,0.1031
749,,749,,749,0.1053
750,,750,,750,0.1087
751,,751,,751,0.1144
752,,752,,752,0.1213
753,,753,,753,0.1271
754,,754,,754,0.1314
755,,755,,755,0.1345
756,,756,,756,0.1371
757,,757,,757,0.139
758,,758,,758,0.142
759,,759,,759,0.1503
760,,760,,760,0.1588
761,,761,,761,0.1623
762,,762,,762,0.1628
763,,763,,763,0.1615
764,,764,,764,0.1584
765,,765,,765,0.1544
766,,766,,766,0.1521
767,,767,,767,0.1539
768,,768,,768,0.1565
769,,769,,769,0.1583
770,,770,,770,0.1609
771,,771,,771,0.165
772,,772,,772,0.1695
773,,773,,773,0.1731
774,,774,,774,0.176
775,,775,,775,0.1781
776,,776,,776,0.1811
777,,777,,777,0.1865
778,,778,,778,0.1944
779,,779,,779,0.2055
780,,780,,780,0.2168
781,,781,,781,0.2252
782,,782,,782,0.2317
783,,783,,783,0.2367
784,,784,,784,0.2411
785,,785,,785,0.2456
786,,786,,786,0.2504
787,,787,,787,0.2583
788,,788,,788,0.2645
789,,789,,789,0.2633
790,,790,,790,0.2583
791,,791,,791,0.2521
792,,792,,792,0.2473
793,,793,,793,0.246
794,,794,,794,0.2503
795,,795,,795,0.2638
796,,796,,796,0.2783
797,,797,,797,0.2861
